"Instrumento","Arquivo","Bytes","Origem"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\06-demonstrativo-da-receita-e-planos-de-aplicacao-dos-fundos-especiais.pdf","101892","https://www.varginha.mg.gov.br/publicos/demonstrativo_da_receita_e_plano_de_aplicacao_dos_fundos_esp_10123009.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\07-demonstrativo-de-funcoes-subfuncoes-e-programas-por-projetos-atividades-e-operacoes-especiais-an.pdf","145516","https://www.varginha.mg.gov.br/publicos/anexo_7_-_demonstrativo_de_funcoes,_subfuncoes_e_programas_p_10122151.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\08-funcoes-e-subfuncoes-de-governo-anexo-5.pdf","57355","https://www.varginha.mg.gov.br/publicos/anexo_5_-_funcoes_e_subfuncoes_de_governo_-_anexo5funesesubf_10121946.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\09-natureza-da-despesa-por-categoria-economica-anexo-2.pdf","34272","https://www.varginha.mg.gov.br/publicos/anexo_2_-_natureza_da_despesa_por_categoria_economica_-_anex_10121136.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\10-natureza-da-despesa-por-categoria-economica-anexo-2.pdf","321612","https://www.varginha.mg.gov.br/publicos/anexo_2_-_natureza_da_despesa_por_categoria_economica_-_nive_10121434.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\11-programa-de-trabalho-de-governo-anexo-6.pdf","328186","https://www.varginha.mg.gov.br/publicos/anexo_6_-_programa_de_trabalho_do_governo_-_anexo6programade_10122039.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\12-receita-por-categoria-economica-anexo-2.pdf","59312","https://www.varginha.mg.gov.br/publicos/anexo_2_-_receita_por_categoria_economica_-_anexo2receitapor_10121545.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\13-receita-por-categoria-economica-anexo-2.pdf","59312","https://www.varginha.mg.gov.br/publicos/anexo_2_-_receita_por_categoria_economica_nivel_4_-_anexo2re_10121900.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\14-relatorio-de-despesas-por-orgao-conforme-vinculo-e-recursos-consolidado.pdf","57150","https://www.varginha.mg.gov.br/publicos/despesas_por_Orgao_conforme_vinculo_e_recursos_-_despesaspor_10020644.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\15-resumo-das-despesas-por-programas.pdf","52093","https://www.varginha.mg.gov.br/publicos/resumo_das_despesas_por_programas_-_resumodasdespesasporprog_10020524.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\16-sumario-geral-da-receita-por-fontes-e-da-despesa-por-funcoes-de-governo.pdf","33870","https://www.varginha.mg.gov.br/publicos/sumario_geral_da_receita_por_fontes_e_da_despesa_por_funcoes_10123127.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\01-anexo-de-metas-fiscais-origem-e-aplicacao-dos-recursos-obtidos-com-a-alienacao-de-ativos.pdf","39705","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_05_-_origem_e_aplicacao_dos_recursos_obt_26041034.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\02-anexo-i-metodologia-e-memoria-de-calculo-das-metas-anuais-para-as-receitas-total-das-receitas.pdf","153562","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_01_-_metas_anuais_(memoria_calculo_recei_26041624.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\03-anexo-ii-metodologia-e-memoria-de-calculo-das-metas-anuais-para-as-despesas-total-das-despesas.pdf","44709","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_01_-_metas_anuais_(memoria_calculo_despe_26041722.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\04-anexo-v-metodologia-e-memoria-de-calculo-das-metas-anuais-para-o-montante-da-divida.pdf","29449","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_01_-_metas_anuais_(memoria_calculo_dcl)_26043204.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\05-avaliacao-da-situacao-financeira-e-atuarial-do-regime-proprio-de-previdencia-dos-servidores-e-das-pe.pdf","88551","https://www.varginha.mg.gov.br/publicos/amfdemonstrativo06avaliaodasituaofinanceiraeatuarialdorpps_f_26041146.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\06-avaliacao-do-cumprimento-das-metas-fiscais-do-exercicio-anterior.pdf","52241","https://www.varginha.mg.gov.br/publicos/varginha_-_amf_-_demonstrativo_02_-_avaliacao_do_cumprimento_26040629.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\07-demonstrativo-de-riscos-fiscais-e-providencias.pdf","36499","https://www.varginha.mg.gov.br/publicos/arf_-_demonstrativo_de_riscos_fiscais_e_providencias_-_arfde_26041841.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\08-estimativa-e-compensacao-da-renuncia-de-receita.pdf","35454","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_07_-_estimativa_e_compensacao_da_renunci_26041226.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\09-evolucao-do-patrimonio-liquido.pdf","46743","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_04_-_evolucao_do_patrimonio_liquido_26040920.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\10-margem-de-expansao-das-despesas-obrigatorias-de-carater-continuado.pdf","37551","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_08_-_margem_de_expansao_das_despesas_obr_26041312.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\11-metas-anuais-2025-lei-n-7-282-de-12-de-julho-de-2024.pdf","39329","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_01_-_metas_anuais_26040210.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\12-metas-fiscais-atuais-comparadas-com-as-fixadas-nos-tres-exercicios-anteriores.pdf","60409","https://www.varginha.mg.gov.br/publicos/varginha_-_amf_-_demonstrativo_03_-_das_metas_fiscais_atuais_26040745.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\13-obras-em-andamento.pdf","1646714","https://www.varginha.mg.gov.br/publicos/obras_22-04-2024_26041954.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\14-relatorio-de-metas-e-prioridades-das-despesas-por-programas.pdf","177857","https://www.varginha.mg.gov.br/publicos/relatorio_das_metas_e_prioridades_das_despesas_por_programas_26043048.pdf"
"LOA-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LOA-2025-Lei-7330\01-lei-anexos.pdf","20865552","https://www.varginha.mg.gov.br/publicos/lei_7330_loa_e_anexos_27043452.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\01-anexo-de-metas-fiscais-metas-anuais.pdf","37643","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_01_-_metas_anuais_04112816.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\02-anexo-i-metodologia-e-memoria-de-calculo-das-metas-anuais-para-as-receitas-total-das-receitas-2026.pdf","627135","https://www.varginha.mg.gov.br/publicos/anexo_i_-_metodologia_e_memoria_de_calculo_das_metas_anuais__04113445.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\03-anexo-ii-metodologia-e-memoria-de-calculo-das-metas-anuais-para-as-despesas-total-das-despesas-2.pdf","38292","https://www.varginha.mg.gov.br/publicos/anexo_ii_-_metodologia_e_memoria_de_calculo_das_metas_anuais_04113404.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\04-anexo-v-metodologia-e-memoria-de-calculo-das-metas-anuais-para-o-montante-da-divida-2026.pdf","69259","https://www.varginha.mg.gov.br/publicos/arf_-_demonstrativo_de_riscos_fiscais_e_providencias_04113540.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\05-avaliacao-da-situacao-financeira-e-atuarial-do-regime-proprio-de-previdencia-dos-servidores-e-das-pe.pdf","203258","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_06_-_avaliacao_da_situacao_financeira_e__04113206.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\06-avaliacao-do-cumprimento-das-metas-fiscais-do-exercicio-anterior-2026.pdf","80885","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_02_-_avaliacao_do_cumprimento_das_metas__04112905.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\07-demonstrativo-de-riscos-fiscais-e-providencias-2026.pdf","69259","https://www.varginha.mg.gov.br/publicos/arf_-_demonstrativo_de_riscos_fiscais_e_providencias_04113628.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\08-dispoe-sobre-as-diretrizes-para-a-elaboracao-e-execucao-da-lei-orcamentaria-de-2026-e-da-outras-prov.pdf","14590963","https://www.varginha.mg.gov.br/publicos/lei_7417_ldo_e_anexo_04113915.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\09-estimativa-e-compensacao-da-renuncia-de-receita-2026.pdf","68326","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_07_-_estimativa_e_compensacao_da_renunci_04113241.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\10-evolucao-do-patrimonio-liquido-2026.pdf","70297","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_04_-_evolucao_do_patrimonio_liquido_-_am_04113038.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\11-margem-de-expansao-das-despesas-obrigatorias-de-carater-continuado-2026.pdf","72386","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_08_-_margem_de_expansao_das_despesas_obr_04113325.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\12-metas-fiscais-atuais-comparadas-com-as-fixadas-nos-tres-exercicios-anteriores-2026.pdf","54559","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_03_-_das_metas_fiscais_atuais_comparadas_04112953.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\13-obras-em-andamento.pdf","59398","https://www.varginha.mg.gov.br/publicos/obras_em_andamento_sepla_17-04-2025_04112408.pdf"
"LDO-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LDO-2026-Lei-7417\14-origem-e-aplicacao-dos-recursos-obtidos-com-a-alienacao-de-ativos.pdf","71567","https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_05_-_origem_e_aplicacao_dos_recursos_obt_04113119.pdf"
"LOA-2026","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2026\LOA-2026-Lei-7510\01-documento-oficial-loa-2026.pdf","18551562","https://www.varginha.mg.gov.br/publicos/lei_7510_loa_com_anexo_12112810.pdf"
"PPA-2026-2029","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\PPA\PPA-2026-2029-Lei-7473\01-anexo-i-modelo-do-orcamento-da-receita.pdf","69954","https://www.varginha.mg.gov.br/publicos/anexo_i_-_modelo_do_orcamento_da_receita_-_anexo_i_-_modelo__10050312.pdf"
"PPA-2026-2029","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\PPA\PPA-2026-2029-Lei-7473\02-despesas-por-programas-de-governo-e-acoes.pdf","995820","https://www.varginha.mg.gov.br/publicos/anexo_ii_-_modelo_da_planilha_de_despesa_por_programa_e_acoe_10050418.pdf"
"PPA-2026-2029","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\PPA\PPA-2026-2029-Lei-7473\03-relatorio-de-metas-e-prioridades-das-despesas-por-programas.pdf","1139508","https://www.varginha.mg.gov.br/publicos/anexo_vi_-_relatorio_das_metas_e_prioridades_das_despesas_po_10050558.pdf"
"PPA-2026-2029","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\PPA\PPA-2026-2029-Lei-7473\04-relatorio-de-metas-fisicas-das-despesas-por-programas-e-acoes.pdf","418615","https://www.varginha.mg.gov.br/publicos/relatorio_de_metas_fisicas_das_despesas_por_programas_e_acoe_10050752.pdf"
"PPA-2026-2029","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\PPA\PPA-2026-2029-Lei-7473\05-resumo-dos-programas-do-ppa.pdf","79272","https://www.varginha.mg.gov.br/publicos/anexo_iii_demonstrativo_da_consolidacao_da_despesa_por_progr_10050505.pdf"
"PPA-2026-2029","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\PPA\PPA-2026-2029-Lei-7473\06-resumo-dos-programas-e-acoes-por-funcao-e-subfuncao.pdf","311095","https://www.varginha.mg.gov.br/publicos/anexo_v_-_resumo_dos_programas_e_acoes_por_funcao_e_subfunca_10050643.pdf"
"LDO-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LDO-2024-Lei-7124\00-texto-integral-lei-7124-2023-sapl.pdf","15839926","https://sapl.varginha.mg.leg.br/media/sapl/public/normajuridica/2023/4237/lei7124-2023.pdf"
"LOA-2024","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2024\LOA-2024-Lei-7219\00-texto-integral-lei-7219-2023-sapl.pdf","25671948","https://sapl.varginha.mg.leg.br/media/sapl/public/normajuridica/2023/4390/lei7219-2023.pdf"
"LDO-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\exercicio-2025\LDO-2025-Lei-7282\00-texto-integral-lei-7282-2024-sapl.pdf","21946670","https://sapl.varginha.mg.leg.br/media/sapl/public/normajuridica/2024/5211/lei7282-2024.pdf"
"PPA-2022-2025","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\PPA\PPA-2022-2025-Lei-6888\01-lei-6888-2021-ppa-2022-2025-sapl.pdf","27815393","https://sapl.varginha.mg.leg.br/media/sapl/public/normajuridica/2021/404/lei6888-2021.pdf"
"PPA-2026-2029","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\PPA\PPA-2026-2029-Lei-7473\00-texto-integral-lei-7473-2025-sapl.pdf","16843440","https://sapl.varginha.mg.leg.br/media/sapl/public/normajuridica/2025/6489/lei7473-2025.pdf"
"PPA-2026-2029-PROJETO","D:\Ações Prefeitura Varginha\3_Fiscaliza Varginha\docs\orcamento-varginha\PPA\PPA-2026-2029-Lei-7473\07-projeto-de-lei-45-2025-original-141-paginas.pdf","53465764","https://sapl.varginha.mg.leg.br/media/sapl/public/materialegislativa/2025/4514/projetodelei45-2025.pdf"
