arquivo,bytes,sha256,origem
exercicio-2024/LDO-2024-Lei-7124/00-texto-integral-lei-7124-2023-sapl.pdf,15839926,62834159e5226803db8bc2d2f4de99eff86e209732e381ce87de8fb84b74bca2,https://sapl.varginha.mg.leg.br/media/sapl/public/normajuridica/2023/4237/lei7124-2023.pdf
exercicio-2024/LDO-2024-Lei-7124/01-ld.pdf,29441,292b2a9594a91fe6fc50d123059bbfeab3667bbd97e21914307036a0809dabd0,https://www.varginha.mg.gov.br/publicos/ldo2024-demonstrativo_3_dividas_04115327.pdf
exercicio-2024/LDO-2024-Lei-7124/02-ldo.pdf,67548,e4004b99ff788b757ad55152fea56b6eb862ceadacba9a2834cb85e3db2dcffa,https://www.varginha.mg.gov.br/publicos/metas_e_prioridades__04115157.pdf
exercicio-2024/LDO-2024-Lei-7124/03-ldo.pdf,27039,0c9d2de8b63221aead5438b53f1f732abd2b773d700e920c6b62187d4fdc49d1,https://www.varginha.mg.gov.br/publicos/ldo2024-inflacao_e_pib_04115249.pdf
exercicio-2024/LDO-2024-Lei-7124/04-ldo.pdf,29818,ec8d7c97f4efb45e52be3ebea80cd5fe536c9a50c3afcc76bd02f2b583c84e72,https://www.varginha.mg.gov.br/publicos/ldo2024-demonstrativo_2_despesas_04115357.pdf
exercicio-2024/LDO-2024-Lei-7124/05-ldo.pdf,31387,fceb13ad4980773ac8c70af53e70a7b251409694d93ce950eb61dc163a4da156,https://www.varginha.mg.gov.br/publicos/ldo2024-demonstrativo_1_receitas_04115432.pdf
exercicio-2024/LDO-2024-Lei-7124/06-ldo.pdf,26756,e0233512a959e78764873e4d6189a7a9f0e7d69f4c11b237fdbf7be6b3b89662,https://www.varginha.mg.gov.br/publicos/ldo2024-arf_risco_fiscal_04115507.pdf
exercicio-2024/LDO-2024-Lei-7124/07-ldo.pdf,27126,95a4790d715c6d695738f394a543c41b8e8641863c6eb05e16b7d1c834eb3136,https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_8_04115542.pdf
exercicio-2024/LDO-2024-Lei-7124/08-ldo.pdf,26985,a75b366947b99261bf026b177397938d654211d8c1bce59acad0a5fe992be304,https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_7_04115614.pdf
exercicio-2024/LDO-2024-Lei-7124/09-ldo.pdf,30529,fbfad444cf9018262f7c27d3bee493f61fe8894f86bf60645422dbbdb6d42607,https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_6_2_04115643.pdf
exercicio-2024/LDO-2024-Lei-7124/10-ldo.pdf,31340,35fc79d7f482fd551180b62851b0ef73c3945341bd28d95b8d44a26a01a55172,https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_6_1_04115720.pdf
exercicio-2024/LDO-2024-Lei-7124/11-ldo.pdf,32797,bd7d9ffaca1c3910a0e4d13bbe9bb911f5b6d661069ab6bf325949ec28af0452,https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_6_04115753.pdf
exercicio-2024/LDO-2024-Lei-7124/12-ldo.pdf,27456,d42126eb2abbf523cb92e1a24f408980834ab822ad27ff5b6de82cab61f69cf5,https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_5_04115840.pdf
exercicio-2024/LDO-2024-Lei-7124/13-ldo.pdf,27484,355218795f6e3409672b681e6c7a7b41607781b5f6b7518d798101ec23d74dbc,https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_4_04120012.pdf
exercicio-2024/LDO-2024-Lei-7124/14-ldo.pdf,29528,217accbbe5aa952b4e20ca51daf89b94b4cd463b85917bafb9b1b6b054201653,https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_3_04120048.pdf
exercicio-2024/LDO-2024-Lei-7124/15-ldo.pdf,27690,af60a467b26d6971335322a748892c2f87935bff1486790fbffc780ef0969f06,https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_i_tabela_2_04120128.pdf
exercicio-2024/LDO-2024-Lei-7124/16-ldo.pdf,28986,141d5ee767d34dfddb9095b7e09a03b6616753dc924f050b5a3d187f3a3ade75,https://www.varginha.mg.gov.br/publicos/ldo2024-anexo_1_04120157.pdf
exercicio-2024/LOA-2024-Lei-7219/00-texto-integral-lei-7219-2023-sapl.pdf,25671948,a2f2d07d0b0a09fc381f530dcd24c6d2416535711d972edd7259a00ef8c040d1,https://sapl.varginha.mg.leg.br/media/sapl/public/normajuridica/2023/4390/lei7219-2023.pdf
exercicio-2024/LOA-2024-Lei-7219/01-demonstrativo-da-despesa-por-funcoes-subfuncoes-e-programas-conforme-o-vinculo-com-os-recursos-ane.pdf,146100,eb8006fa5e94eedf4193d621d964b5c645762c118259530f9efc59a5a4c76519,"https://www.varginha.mg.gov.br/publicos/anexo_8_-_demonstrativo_da_despesa_por_funcoes,_subfuncoes_e_10122257.pdf"
exercicio-2024/LOA-2024-Lei-7219/02-demonstrativo-da-despesa-por-orgaos-e-funcoes-anexo-9.pdf,76642,e9df80152465ae75f8308e379e10c8b05d4c82b89df1d4ed6b1d74de4a7ee8b3,https://www.varginha.mg.gov.br/publicos/anexo_9_-_demonstrativo_da_despesa_por_Orgao_e_funcoes_-_ane_10122358.pdf
exercicio-2024/LOA-2024-Lei-7219/03-demonstrativo-da-evolucao-da-despesa-conforme-art-22-iii-da-lei-no-4-320-64.pdf,36872,ccd9d99da89b1c1225600cb808632b0c1cf00f1e0412963137d819c746ce702a,"https://www.varginha.mg.gov.br/publicos/demonstrativo_da_evolucao_da_despesa_(conforme_art22,_iii)_-_10122831.pdf"
exercicio-2024/LOA-2024-Lei-7219/04-demonstrativo-da-evolucao-da-receita-art-22-iii-da-lei-no-4-320-64-e-art-12-da-lei-no-101-2000.pdf,36655,497cad66375641cc4578375b990a107778ad6e6fd9e035a2b99270a69ad35eaf,"https://www.varginha.mg.gov.br/publicos/demonstrativo_da_evolucao_da_receita_(conforme_art_22,_iii)__10122623.pdf"
exercicio-2024/LOA-2024-Lei-7219/05-demonstrativo-da-receita-e-despesa-segundo-as-categorias-economicas-anexo-1.pdf,32156,39d82cce940d9b440d32da8f2380da803335912b22941e3f557ffbfb48b7c852,https://www.varginha.mg.gov.br/publicos/anexo_1_-_demonstrativo_da_receita_e_despesa_segundo_categor_10121042.pdf
exercicio-2024/LOA-2024-Lei-7219/06-demonstrativo-da-receita-e-planos-de-aplicacao-dos-fundos-especiais.pdf,101892,f5b8d08b55f12108dec4b85864f19ffedeea2342cc8cbf86f25ebfc174e01fbe,https://www.varginha.mg.gov.br/publicos/demonstrativo_da_receita_e_plano_de_aplicacao_dos_fundos_esp_10123009.pdf
exercicio-2024/LOA-2024-Lei-7219/07-demonstrativo-de-funcoes-subfuncoes-e-programas-por-projetos-atividades-e-operacoes-especiais-an.pdf,145516,d9f787e7e999aea05c8de74174f675450e0ea305594d7b384e856b7ec84dcc5b,"https://www.varginha.mg.gov.br/publicos/anexo_7_-_demonstrativo_de_funcoes,_subfuncoes_e_programas_p_10122151.pdf"
exercicio-2024/LOA-2024-Lei-7219/08-funcoes-e-subfuncoes-de-governo-anexo-5.pdf,57355,9dc605cce662b938829a86ad2f81919df4599719dcad55161841957e574181c7,https://www.varginha.mg.gov.br/publicos/anexo_5_-_funcoes_e_subfuncoes_de_governo_-_anexo5funesesubf_10121946.pdf
exercicio-2024/LOA-2024-Lei-7219/09-natureza-da-despesa-por-categoria-economica-anexo-2.pdf,34272,639c305ab7a280f5821ff9c60485d712d6434a7e0cdf154898c3bba4e3899e74,https://www.varginha.mg.gov.br/publicos/anexo_2_-_natureza_da_despesa_por_categoria_economica_-_anex_10121136.pdf
exercicio-2024/LOA-2024-Lei-7219/10-natureza-da-despesa-por-categoria-economica-anexo-2.pdf,321612,ecb6f282e07a85d04da355026d4144810d2efd8f06a147f81541ad3d59d0263a,https://www.varginha.mg.gov.br/publicos/anexo_2_-_natureza_da_despesa_por_categoria_economica_-_nive_10121434.pdf
exercicio-2024/LOA-2024-Lei-7219/11-programa-de-trabalho-de-governo-anexo-6.pdf,328186,7a415db6ab4ccb139b1469101951706f533f5a858deb224db5211c2bc3cbf552,https://www.varginha.mg.gov.br/publicos/anexo_6_-_programa_de_trabalho_do_governo_-_anexo6programade_10122039.pdf
exercicio-2024/LOA-2024-Lei-7219/12-receita-por-categoria-economica-anexo-2.pdf,59312,bcf62c489deeaa50005fc36afa4ffac371623277d0c635a70999ba252dcf57f9,https://www.varginha.mg.gov.br/publicos/anexo_2_-_receita_por_categoria_economica_-_anexo2receitapor_10121545.pdf
exercicio-2024/LOA-2024-Lei-7219/13-receita-por-categoria-economica-anexo-2.pdf,59312,9428e51da90d8a4d45f35a991a4f46768bc5bb66b97c42ddf1f5a21461fcf66a,https://www.varginha.mg.gov.br/publicos/anexo_2_-_receita_por_categoria_economica_nivel_4_-_anexo2re_10121900.pdf
exercicio-2024/LOA-2024-Lei-7219/14-relatorio-de-despesas-por-orgao-conforme-vinculo-e-recursos-consolidado.pdf,57150,571bdc543f4588a16ca5820255187adcc30670510e36d2d3830c76c7923f0b6e,https://www.varginha.mg.gov.br/publicos/despesas_por_Orgao_conforme_vinculo_e_recursos_-_despesaspor_10020644.pdf
exercicio-2024/LOA-2024-Lei-7219/15-resumo-das-despesas-por-programas.pdf,52093,20b8a3b2b7fbf088add57ca94dc418c60ee260e8612876ba957d6ae2e4eac763,https://www.varginha.mg.gov.br/publicos/resumo_das_despesas_por_programas_-_resumodasdespesasporprog_10020524.pdf
exercicio-2024/LOA-2024-Lei-7219/16-sumario-geral-da-receita-por-fontes-e-da-despesa-por-funcoes-de-governo.pdf,33870,2777230b86111c78e846dbed4d5738b3c23822ed3459cce7dd11cd03fef35ff5,https://www.varginha.mg.gov.br/publicos/sumario_geral_da_receita_por_fontes_e_da_despesa_por_funcoes_10123127.pdf
exercicio-2025/LDO-2025-Lei-7282/00-texto-integral-lei-7282-2024-sapl.pdf,21946670,e53867f658fb6975042ebccce2518cdf2941eb8e76c74af02b93a1dde40fd63d,https://sapl.varginha.mg.leg.br/media/sapl/public/normajuridica/2024/5211/lei7282-2024.pdf
exercicio-2025/LDO-2025-Lei-7282/01-anexo-de-metas-fiscais-origem-e-aplicacao-dos-recursos-obtidos-com-a-alienacao-de-ativos.pdf,39705,64eb822a44ee1e94b06f97230e4e34e8eae89327d58c7795b968f5b2fb5c5e24,https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_05_-_origem_e_aplicacao_dos_recursos_obt_26041034.pdf
exercicio-2025/LDO-2025-Lei-7282/02-anexo-i-metodologia-e-memoria-de-calculo-das-metas-anuais-para-as-receitas-total-das-receitas.pdf,153562,218e3fc726d842e96983b35a3de29e768a30a9c4122056340622563812334c63,https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_01_-_metas_anuais_(memoria_calculo_recei_26041624.pdf
exercicio-2025/LDO-2025-Lei-7282/03-anexo-ii-metodologia-e-memoria-de-calculo-das-metas-anuais-para-as-despesas-total-das-despesas.pdf,44709,ae8d589af8424a4b90ed7269b59615d41294f26332584f146e5751202d1e8175,https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_01_-_metas_anuais_(memoria_calculo_despe_26041722.pdf
exercicio-2025/LDO-2025-Lei-7282/04-anexo-v-metodologia-e-memoria-de-calculo-das-metas-anuais-para-o-montante-da-divida.pdf,29449,3da0e54d1c16bfe5dff067779e58e695309a25b7aa2cbebde01c8fb353d2bc09,https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_01_-_metas_anuais_(memoria_calculo_dcl)_26043204.pdf
exercicio-2025/LDO-2025-Lei-7282/05-avaliacao-da-situacao-financeira-e-atuarial-do-regime-proprio-de-previdencia-dos-servidores-e-das-pe.pdf,88551,40b2ac33872aa2671995a548712cd5cd6b62c8d70fe4e176907d6f68f580d9a9,https://www.varginha.mg.gov.br/publicos/amfdemonstrativo06avaliaodasituaofinanceiraeatuarialdorpps_f_26041146.pdf
exercicio-2025/LDO-2025-Lei-7282/06-avaliacao-do-cumprimento-das-metas-fiscais-do-exercicio-anterior.pdf,52241,2790f7afafd82e78355e689526812f951db53998b6b9114317dac9316908dbf8,https://www.varginha.mg.gov.br/publicos/varginha_-_amf_-_demonstrativo_02_-_avaliacao_do_cumprimento_26040629.pdf
